name,ban
가나,1
가봉,1
가이아나공화국,1
감비아,1
과테말라,1
그레나다,1
그리스,1
기니,1
기니비사우,1
나미비아,1
나우루,1
나이지리아,1
남수단,0
남아프리카공화국,1
네덜란드,1
네팔,1
노르웨이,1
뉴질랜드,1
니우에,1
니제르,1
니카라과,1
대만,1
덴마크,1
도미니카공화국,1
도미니카연방,1
독일,1
동티모르,1
라오스,1
라이베리아,1
라트비아,1
러시아,1
레바논,1
레소토,1
루마니아,1
룩셈부르크,1
르완다,1
리비아,1
리투아니아,1
리히텐슈타인,1
마다가스카르,1
마셜제도,1
마카오(중국),1
말라위,1
말레이시아,1
말리,0
멕시코,1
모나코,1
모로코,1
모리셔스,1
모리타니아,1
모잠비크,1
몬테네그로,1
몰도바,1
몰디브,1
몰타,1
몽골,1
미국,1
미얀마,1
미크로네시아,1
바누아투,1
바레인,1
바베이도스,1
바하마,1
방글라데시,1
베냉,1
베네수엘라,0
베트남,1
벨기에,1
벨라루스,1
벨리즈,1
보스니아-헤르체고비나,1
보츠와나,1
볼리비아,1
부룬디,1
부르키나파소,1
부탄,1
북마케도니아,1
불가리아,1
브라질,1
브루나이,1
사모아,1
사우디아라비아,1
사이프러스,1
산마리노,1
상투메프린시페,1
세네갈,1
세르비아,1
세이셸,1
세인트루시아,1
세인트빈센트그레나딘,1
세인트키츠네비스,1
소말리아,1
솔로몬제도,1
수단,1
수리남,1
스리랑카,1
스웨덴,1
스위스,1
스페인,1
슬로바키아,1
슬로베니아,1
시리아,1
시에라리온,1
싱가포르,1
아랍에미리트,1
아르메니아,1
아르헨티나,1
아이슬란드,1
아이티,0
아일랜드,1
아제르바이잔,1
아프가니스탄,1
안도라,1
알바니아,1
알제리,1
앙골라,1
앤티가바부다,1
에리트레아,1
에스와티니,1
에스토니아,1
에콰도르,1
에티오피아,1
엘살바도르,1
영국,1
예멘,1
오만,1
오스트리아,1
온두라스,1
요르단,1
우간다,1
우루과이,1
우즈베키스탄,1
우크라이나,1
이라크,1
이란,1
이스라엘,1
이집트,1
이탈리아,1
인도,1
인도네시아,1
일본,1
자메이카,1
잠비아,1
적도기니,1
조지아,1
중국,1
중앙아프리카공화국,0
지부티,1
짐바브웨,1
차드,0
체코,1
칠레,1
카메룬,1
카보베르데,1
카자흐스탄,1
카타르,1
캄보디아,1
캐나다,1
케냐,1
코모로,1
코소보,1
코스타리카,1
코트디부아르,1
콜롬비아,1
콩고,1
콩고민주공화국,1
쿠바,1
쿠웨이트,1
쿡제도,1
크로아티아,1
키르기스스탄,1
키리바시,1
타지키스탄,1
탄자니아,1
태국,1
터키,1
토고,1
통가,1
투르크메니스탄,1
투발루,1
튀니지,1
트리니다드토바고,1
파나마,1
파라과이,1
파키스탄,1
파푸아뉴기니,1
팔라우,1
페루,1
포르투갈,1
폴란드,1
프랑스,1
피지,1
핀란드,1
필리핀,1
헝가리,1
호주,1
홍콩(중국),1
그린란드,1
